title,url,domain,source,seendate,language,query_type
Canopy Growth Corporation [ CGC ] is - 64 . 57 % lower this YTD . Is it still time to buy ? ,https://dbtnews.com/2022/01/03/canopy-growth-corporation-cgc-is-64-57-lower-this-ytd-is-it-still-time-to-buy/,dbtnews.com,dbtnews.com,20220104T000000Z,English,all_us_market
"U . S . stocks jump sharply , Apple capitalization hits $3 trillion",https://www.saltlakecitysun.com/news/272094223/us-stocks-jump-sharply-apple-capitalization-hits-3-trillion,saltlakecitysun.com,saltlakecitysun.com,20220104T000000Z,English,all_us_market
Digimarc Corporation Completes Acquisition of EVRYTHNG Ltd . ,https://www.prnewswire.com:443/news-releases/digimarc-corporation-completes-acquisition-of-evrythng-ltd-301453049.html,prnewswire.com,prnewswire.com,20220104T000000Z,English,all_us_market
"TNS Business Budget for Monday , Jan . 3 , 2022",https://www.msn.com/en-us/money/companies/tns-business-budget-for-monday-jan-3-2022/ar-AASoeHI,msn.com,msn.com,20220104T000000Z,English,all_us_market
U . S . stocks start 2022 at record ; treasuries fall,https://www.bnnbloomberg.ca/u-s-stocks-start-2022-at-record-treasuries-fall-1.1702386,bnnbloomberg.ca,bnnbloomberg.ca,20220104T000000Z,English,all_us_market
Bob Ciura on AbbVie : A Healthcare Stock for Long - Term Growth,https://www.wjr.com/news/bob-ciura-on-abbvie-a-healthcare-stock-for-long-term-growth/,wjr.com,wjr.com,20220104T000000Z,English,all_us_market
Judge to poll Holmes jury still deadlocked on three charges,https://siouxcityjournal.com/lifestyles/health-med-fit/judge-to-poll-holmes-jury-still-deadlocked-on-three-charges/article_91823222-1e9c-56c0-93e1-213cea89ff33.html,siouxcityjournal.com,siouxcityjournal.com,20220104T000000Z,English,all_us_market
Stocks in Asia Eye Steady Start After U . S . Record : Markets Wrap,https://www.bnnbloomberg.ca/stocks-in-asia-eye-steady-start-after-u-s-record-markets-wrap-1.1702638,bnnbloomberg.ca,bnnbloomberg.ca,20220104T000000Z,English,all_us_market
U . S .- listed Chinese firms trade mostly lower - Xinhua,http://www.xinhuanet.com/english/northamerica/20220104/a888729a8e8b4e0bbc3e51374283685e/c.html,xinhuanet.com,xinhuanet.com,20220104T000000Z,English,all_us_market
Elizabeth Holmes Jury Split On Three Of 11 Fraud Charges,http://www.bigcountry995.com/story/61d387c2d97f7f0c158f2590/elizabeth-holmes-jury-split-on-three-of-11-fraud-charges,bigcountry995.com,bigcountry995.com,20220104T000000Z,English,all_us_market
Stock Futures Are Flat After Dow and S & P 500 Close at Records,https://www.nbcmiami.com/news/business/money-report/stock-futures-are-flat-after-dow-and-sp-500-close-at-records/2653676/,nbcmiami.com,nbcmiami.com,20220104T000000Z,English,all_us_market
"U . S . stocks jump sharply , Apple capitalization hits $3 trillion",https://www.californiatelegraph.com/news/272094223/us-stocks-jump-sharply-apple-capitalization-hits-3-trillion,californiatelegraph.com,californiatelegraph.com,20220104T000000Z,English,all_us_market
Jury in Theranos founder Elizabeth Holmes fraud trial deadlocked on three charges - 04 - Jan - 2022,https://home.nzcity.co.nz/news/article.aspx?id=346389,home.nzcity.co.nz,home.nzcity.co.nz,20220104T000000Z,English,all_us_market
"Intel Corporation [ INTC ] stock Upgrade by Northland Capital analyst , price target now $49",https://dbtnews.com/2022/01/03/intel-corporation-intc-stock-upgrade-by-northland-capital-analyst-price-target-now-49/,dbtnews.com,dbtnews.com,20220104T000000Z,English,all_us_market
Spreading wildfires blamed for destruction of 1000 Colorado homes,https://www.londonmercury.com/news/272094014/spreading-wildfires-blamed-for-destruction-of-1000-colorado-homes,londonmercury.com,londonmercury.com,20220104T000000Z,English,all_us_market
"More record highs for S & P 500 , Dow on first day of 2022",https://www.startribune.com/more-record-highs-for-s-p-500-dow-on-first-day-of-2022/600132190/,startribune.com,startribune.com,20220104T000000Z,English,all_us_market
"U . S . stocks jump sharply , Apple capitalization hits $3 trillion",https://www.londonmercury.com/news/272094223/us-stocks-jump-sharply-apple-capitalization-hits-3-trillion,londonmercury.com,londonmercury.com,20220104T000000Z,English,all_us_market
Elizabeth Holmes jury affirms deadlock on 3 of 11 charges,https://www.kob.com/national-news/holmes-jury-to-resume-deliberations-after-holiday-break/6347659/?cat=649,kob.com,kob.com,20220104T000000Z,English,all_us_market
"Nasdaq 100 Starts the Year with a Bang as Tesla Gains 13 %, R ... ",https://menafn.com/1103482455/Nasdaq-100-Starts-the-Year-with-a-Bang-as-Tesla-Gains-13-Reopening-Stocks-Surge&source=19,menafn.com,menafn.com,20220104T000000Z,English,all_us_market
"Wall St Gains on First Trading Day of 2022 , With Big Boost From Tesla , Apple",https://www.wjr.com/news/wall-st-gains-on-first-trading-day-of-2022-with-big-boost-from-tesla-apple/,wjr.com,wjr.com,20220104T000000Z,English,all_us_market
Putin - Style Politics Could Be What Saves U . S . – American Free Press,https://americanfreepress.net/putin-style-politics-could-be-what-saves-u-s/,americanfreepress.net,americanfreepress.net,20220104T000000Z,English,all_us_market
Judge to poll Holmes jury still deadlocked on three charges,https://www.startribune.com/judge-to-poll-holmes-jury-still-deadlocked-on-three-charges/600132183/,startribune.com,startribune.com,20220104T000000Z,English,all_us_market
Apple Rise to $3 Trillion Market Cap Shows the Value of Its Massive Share Buybacks,https://www.nbcmiami.com/news/business/money-report/apples-rise-to-3-trillion-market-cap-shows-the-value-of-its-massive-share-buybacks/2653682/,nbcmiami.com,nbcmiami.com,20220104T000000Z,English,all_us_market
Cramer Says Investors Shouldnt Rule Out Another Strong Stock Rally in 2022 After Last Year Massive Gains,https://www.nbcmiami.com/news/business/money-report/cramer-says-investors-shouldnt-rule-out-another-strong-stock-rally-in-2022-after-last-years-massive-gains/2653689/,nbcmiami.com,nbcmiami.com,20220104T000000Z,English,all_us_market
